Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
ANSS,1.67,1.09,0.57,0.29,0.02,0.06,-0.02,-0.17,0.14,0.18,0.01,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
JKHY,1.25,0.42,0.83,0.29,0.01,0.05,0.00,-0.56,0.56,0.18,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FTV,1.24,0.43,0.81,0.29,0.02,0.06,0.49,-0.06,0.55,0.21,0.01,0.00,100.00,2016-07-05 00:00:00,2023-11-16 00:00:00
HII,1.62,0.84,0.78,0.29,0.02,0.06,0.15,-0.42,0.58,0.18,0.01,0.00,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ETN,1.75,0.63,1.12,0.29,0.02,0.06,0.20,0.26,-0.07,0.18,0.01,0.00,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DPZ,2.12,0.68,1.44,0.29,0.02,0.08,0.00,-0.93,0.93,0.14,0.01,0.02,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FITB,1.48,0.80,0.68,0.28,0.02,0.05,0.49,0.29,0.20,0.23,0.01,-0.02,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RTX,1.43,0.75,0.69,0.28,0.01,0.05,0.90,0.39,0.50,0.24,0.01,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ED,1.14,0.58,0.56,0.28,0.01,0.04,0.41,0.14,0.27,0.22,0.01,-0.01,146.00,2013-11-18 00:00:00,2023-11-15 00:00:00
BG,2.00,1.27,0.72,0.28,0.02,0.07,1.25,1.49,-0.24,0.23,0.02,0.01,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EQT,2.89,2.12,0.77,0.28,0.03,0.10,1.89,3.18,-1.29,0.24,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TRMB,2.65,1.33,1.32,0.28,0.03,0.10,1.79,0.82,0.97,0.23,0.02,0.03,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
